CountryID,Name,movieID,population,language
SE,Sweden,74626,10300000.0,Swedish
IT,Italy,11039,60000000.0,Italian
CA,Canada,62989,38000000.0,"English, French"
US,United States of America,78362,331000000.0,English
IR,Iran,43766,5000000.0,Multiple Languages
US,United States of America,82679,331000000.0,English
DE,Germany,91551,83000000.0,German
DE,Germany,85469,83000000.0,German
US,United States of America,79113,331000000.0,English
DE,Germany,233063,83000000.0,German
FI,Finland,289336,5000000.0,Multiple Languages
FI,Finland,222413,5000000.0,Multiple Languages
CA,Canada,189803,38000000.0,"English, French"
FR,France,118778,65000000.0,French
SE,Sweden,5995,10300000.0,Swedish
AT,Austria,246314,5000000.0,Multiple Languages
SE,Sweden,203060,10300000.0,Swedish
FI,Finland,203060,5000000.0,Multiple Languages
DE,Germany,130233,83000000.0,German
DE,Germany,130694,83000000.0,German
DE,Germany,117467,83000000.0,German
US,United States of America,210842,331000000.0,English
US,United States of America,176085,331000000.0,English
AU,Australia,174358,25000000.0,English
CN,China,174358,1440000000.0,Mandarin
FR,France,174358,65000000.0,French
GB,United Kingdom,174358,67000000.0,English
HK,Hong Kong,174358,5000000.0,Multiple Languages
IR,Iran,228407,5000000.0,Multiple Languages
IR,Iran,398452,5000000.0,Multiple Languages
DE,Germany,169881,83000000.0,German
US,United States of America,27584,331000000.0,English
DE,Germany,174928,83000000.0,German
US,United States of America,37420,331000000.0,English
GB,United Kingdom,199782,67000000.0,English
US,United States of America,28323,331000000.0,English
IR,Iran,253988,5000000.0,Multiple Languages
NL,Netherlands,214139,17500000.0,Dutch
SE,Sweden,25583,10300000.0,Swedish
NL,Netherlands,186929,17500000.0,Dutch
DK,Denmark,186929,5000000.0,Multiple Languages
BE,Belgium,186929,5000000.0,Multiple Languages
CA,Canada,224950,38000000.0,"English, French"
IT,Italy,46445,60000000.0,Italian
SE,Sweden,14499,10300000.0,Swedish
RU,Russia,14499,144000000.0,Russian
NO,Norway,14499,5000000.0,Multiple Languages
JP,Japan,54277,126000000.0,Japanese
GR,Greece,127866,5000000.0,Multiple Languages
IT,Italy,100812,60000000.0,Italian
GB,United Kingdom,225747,67000000.0,English
US,United States of America,185267,331000000.0,English
GB,United Kingdom,28981,67000000.0,English
US,United States of America,119278,331000000.0,English
DE,Germany,8213,83000000.0,German
US,United States of America,25707,331000000.0,English
FI,Finland,328631,5000000.0,Multiple Languages
FR,France,69406,65000000.0,French
BR,Brazil,69406,213000000.0,Portuguese
US,United States of America,171910,331000000.0,English
US,United States of America,64807,331000000.0,English
US,United States of America,229296,331000000.0,English
IN,India,17478,1390000000.0,"Hindi, English"
US,United States of America,230864,331000000.0,English
GB,United Kingdom,230864,67000000.0,English
US,United States of America,171698,331000000.0,English
JP,Japan,13194,126000000.0,Japanese
US,United States of America,13194,331000000.0,English
US,United States of America,30077,331000000.0,English
US,United States of America,209504,331000000.0,English
GB,United Kingdom,240629,67000000.0,English
US,United States of America,195269,331000000.0,English
IT,Italy,35718,60000000.0,Italian
FR,France,58061,65000000.0,French
IT,Italy,58061,60000000.0,Italian
ES,Spain,58061,47000000.0,Spanish
PT,Portugal,265111,5000000.0,Multiple Languages
FI,Finland,265111,5000000.0,Multiple Languages
TZ,Tanzania,265111,5000000.0,Multiple Languages
GB,United Kingdom,265111,67000000.0,English
BE,Belgium,265111,5000000.0,Multiple Languages
US,United States of America,115283,331000000.0,English
US,United States of America,159024,331000000.0,English
US,United States of America,84152,331000000.0,English
US,United States of America,66469,331000000.0,English
US,United States of America,227348,331000000.0,English
US,United States of America,152603,331000000.0,English
GB,United Kingdom,152603,67000000.0,English
DE,Germany,152603,83000000.0,German
FR,France,152603,65000000.0,French
CY,Cyprus,152603,5000000.0,Multiple Languages
JP,Japan,101740,126000000.0,Japanese
DE,Germany,170309,83000000.0,German
FR,France,32616,65000000.0,French
JP,Japan,32616,126000000.0,Japanese
US,United States of America,36671,331000000.0,English
US,United States of America,81462,331000000.0,English
US,United States of America,13632,331000000.0,English
US,United States of America,76127,331000000.0,English
IN,India,183654,1390000000.0,"Hindi, English"
ES,Spain,257618,47000000.0,Spanish
US,United States of America,31013,331000000.0,English
US,United States of America,41932,331000000.0,English
IS,Iceland,54229,5000000.0,Multiple Languages
DK,Denmark,15826,5000000.0,Multiple Languages
US,United States of America,40593,331000000.0,English
US,United States of America,37488,331000000.0,English
US,United States of America,42329,331000000.0,English
IN,India,191714,1390000000.0,"Hindi, English"
FR,France,191714,65000000.0,French
DE,Germany,191714,83000000.0,German
NL,Netherlands,114718,17500000.0,Dutch
US,United States of America,143777,331000000.0,English
CA,Canada,124409,38000000.0,"English, French"
CA,Canada,14432,38000000.0,"English, French"
DE,Germany,199177,83000000.0,German
BG,Bulgaria,199177,5000000.0,Multiple Languages
DE,Germany,107445,83000000.0,German
RU,Russia,107445,144000000.0,Russian
