CountryID,Name,MovieID,Population,Language,Cities
US,United States of America,6615,5000000.0,Unknown,Unknown
NZ,New Zealand,4513,5000000.0,Unknown,Unknown
US,United States of America,4513,5000000.0,Unknown,Unknown
US,United States of America,5125,5000000.0,Unknown,Unknown
US,United States of America,3877,5000000.0,Unknown,Unknown
US,United States of America,8954,5000000.0,Unknown,Unknown
US,United States of America,4771,5000000.0,Unknown,Unknown
US,United States of America,10759,5000000.0,Unknown,Unknown
CA,Canada,14251,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,14251,5000000.0,Unknown,Unknown
US,United States of America,14848,5000000.0,Unknown,Unknown
DE,Germany,14930,83000000.0,German,"Berlin, Munich, Hamburg"
US,United States of America,14930,5000000.0,Unknown,Unknown
DE,Germany,9773,83000000.0,German,"Berlin, Munich, Hamburg"
GB,United Kingdom,9773,67000000.0,English,"London, Manchester, Birmingham"
GB,United Kingdom,13538,67000000.0,English,"London, Manchester, Birmingham"
TR,Turkey,18421,5000000.0,Unknown,Unknown
FR,France,18421,65000000.0,French,"Paris, Marseille, Lyon"
CA,Canada,4512,38000000.0,"English, French","Toronto, Vancouver, Montreal"
GB,United Kingdom,4512,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,4512,5000000.0,Unknown,Unknown
FR,France,84972,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,37954,5000000.0,Unknown,Unknown
GB,United Kingdom,39893,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,13197,5000000.0,Unknown,Unknown
IL,Israel,15048,5000000.0,Unknown,Unknown
CA,Canada,14041,38000000.0,"English, French","Toronto, Vancouver, Montreal"
GB,United Kingdom,14041,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,14041,5000000.0,Unknown,Unknown
US,United States of America,9898,5000000.0,Unknown,Unknown
BE,Belgium,1922,5000000.0,Unknown,Unknown
DE,Germany,1922,83000000.0,German,"Berlin, Munich, Hamburg"
FR,France,1922,65000000.0,French,"Paris, Marseille, Lyon"
FR,France,2011,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,2011,5000000.0,Unknown,Unknown
JP,Japan,5708,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
GB,United Kingdom,5708,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,5708,5000000.0,Unknown,Unknown
AU,Australia,5708,25000000.0,English,"Sydney, Melbourne, Brisbane"
US,United States of America,5951,5000000.0,Unknown,Unknown
US,United States of America,114033,5000000.0,Unknown,Unknown
RU,Russia,13319,5000000.0,Unknown,Unknown
SE,Sweden,13319,5000000.0,Unknown,Unknown
NO,Norway,33688,5000000.0,Unknown,Unknown
JP,Japan,20646,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
